,Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
629,Eln,0.429749851,1.347
630,Wnt7b,0.145351386,1.1059999999999999
631,Slc25a15,0.273814245,1.209
632,Btbd14b,0.319617934,1.248
633,Itga4,0.16864203600000002,1.124
634,Esr1,0.140124224,1.102
635,Bmp5,0.311503115,1.2409999999999999
636,Atp7b,0.166072676,1.122
637,Mcp,0.44572670299999995,1.3619999999999999
638,Il20,0.38625914100000003,1.307
639,H2afy2,0.304511042,1.235
640,Klk13,0.381837084,1.3030000000000002
641,Dll4,0.215367972,1.161
642,Rab24,0.328836464,1.256
643,Epha4,0.145351386,1.1059999999999999
644,Eif4e2,0.19156265100000003,1.1420000000000001
645,Igfbp4,0.18523225399999999,1.137
646,Foxh1,0.25338423600000004,1.192
647,V1rb4,0.280956314,1.215
648,Magee1,0.214124805,1.16
649,C030018L16Rik,0.32998465,1.2570000000000001
650,Mapre1,0.186500558,1.138
651,Myt1,0.30334239399999996,1.234
652,H2-Ea,0.502839758,1.4169999999999998
653,Wdr1,0.11769504300000001,1.085
654,Lip1,0.221567789,1.166
655,Pspc1,0.358396262,1.2819999999999998
656,Etv4,0.342554745,1.268
657,Src,0.500802053,1.415
658,Mpp1,0.125651102,1.091
659,Col11a2,0.436161839,1.3530000000000002
660,Synpr,0.575312331,1.49
661,Dab2,0.3068455,1.237
662,2400003C14Rik,0.26543689600000003,1.202
663,Wdr26,0.285698126,1.219
664,Cd99l2,0.186500558,1.138
665,2310044P18Rik,0.254594043,1.193
666,Icam1,0.146655222,1.107
667,Seh1l,0.242450074,1.183
668,Homer2,0.40599236,1.325
669,Spon1,0.40599236,1.325
670,Doc2a,0.178873958,1.1320000000000001
671,Cgref1,0.381837084,1.3030000000000002
672,Brca1,0.146655222,1.107
673,Creb3l3,0.211635253,1.158
674,4921511K06Rik,0.16735792800000002,1.123
675,Eps15l1,0.46048047,1.376
676,Cald1,0.162210036,1.119
677,Ndfip1,0.17632277300000002,1.13
678,Tpm2,0.35501626399999997,1.2790000000000001
679,Oact2,0.32998465,1.2570000000000001
680,Kcnj6,0.304511042,1.235
681,Wrn,0.199122642,1.148
682,Shmt1,0.26423615100000003,1.2009999999999998
683,Wsb1,0.342554745,1.268
684,Rgs11,0.35952117,1.2830000000000001
685,Cd8a,0.19156265100000003,1.1420000000000001
686,BC018371,0.25096157399999997,1.19
687,Mark1,0.205392513,1.153
688,D19Wsu162e,0.261831659,1.199
689,Rest,0.16735792800000002,1.123
690,Nol6,0.20163386100000003,1.15
691,Ivns1abp,0.285698126,1.219
692,BC014805,0.129612738,1.094
693,Cacnb1,0.423309237,1.341
694,Nek6,0.5607149539999999,1.475
695,Egln3,0.324234562,1.252
696,Loh11cr2a,0.423309237,1.341
697,B4galt7,0.236339539,1.178
698,Kcnmb2,0.222804561,1.167
699,Rasa1,0.133563526,1.097
700,Kifc2,0.266636643,1.203
701,Atf2,0.32998465,1.2570000000000001
702,Tomm70a,0.166072676,1.122
703,AI316828,0.214124805,1.16
704,Parp12,0.313826296,1.2429999999999999
705,Nova1,0.171206827,1.126
706,Mapre3,0.327687364,1.255
707,AI790298,0.304511042,1.235
708,E030025D05Rik,0.422233001,1.34
709,Recql5,0.17504548600000003,1.129
710,Robo1,0.5518851029999999,1.466
711,Vangl1,0.29042440399999997,1.2229999999999999
712,Col12a1,0.318461465,1.247
713,Napb,0.189033824,1.14
714,BC007180,0.297484916,1.229
715,Hmmr,0.243669081,1.1840000000000002
716,Sema3e,0.206643224,1.1540000000000001
717,Sox6,0.19660704399999998,1.146
718,Pom121,0.186500558,1.138
719,Tm7sf3,0.22650853,1.17
720,Sfrs1,0.173767068,1.128
721,Ebf3,0.38625914100000003,1.307
722,Atg7l,0.27857955,1.213
723,Sms,0.342554745,1.268
724,Rpl21,0.25096157399999997,1.19
725,1110019C08Rik,0.32308179,1.251
726,Cebpz,0.18142064,1.1340000000000001
727,4933426K21Rik,0.35614381,1.28
728,Cyp4f16,0.404903122,1.324
729,Gusb,0.36289064299999996,1.286
730,Pitpnc1,0.177598929,1.131
731,Fbxo3,0.19408705199999998,1.1440000000000001
732,Tom1,0.22774107600000001,1.171
733,Gtf2i,0.291603558,1.224
734,Gns,0.25821739,1.196
735,Etnk1,0.297484916,1.229
736,Sox4,0.46675761600000004,1.382
737,Peg3,0.17504548600000003,1.129
738,Fbxo11,0.26543689600000003,1.202
739,Atpif1,0.318461465,1.247
740,Arf3,0.214124805,1.16
741,Mkrn1,0.22650853,1.17
742,Hmgn3,0.350497247,1.275
743,Ube1c,0.444667067,1.361
744,Pa2g4,0.232660757,1.175
745,Bcl2l11,0.282143229,1.216
746,Fcgr2b,0.562669826,1.4769999999999999
747,B230112C05Rik,0.46988597600000004,1.385
748,Ppp1r8,0.27857955,1.213
749,Egfl7,0.232660757,1.175
750,Mark2,0.47612242,1.391
751,Fen1,0.366252264,1.2890000000000001
752,Sdc3,0.41792000799999995,1.3359999999999999
753,Scyl1,0.220329955,1.165
754,Laptm4b,0.24610401,1.186
755,LOC545161,0.204140717,1.1520000000000001
756,Rnps1,0.22774107600000001,1.171
757,Zbed3,0.237563718,1.179
758,Aldh18a1,0.237563718,1.179
759,Trpm1,0.24610401,1.186
760,Bicd1,0.230203013,1.173
761,Armcx2,0.19282540399999998,1.143
762,Mtap4,0.222804561,1.167
763,6-Sep,0.20163386100000003,1.15
764,Psme3,0.216610069,1.162
765,Cryz,0.350497247,1.275
766,Sfrp1,0.254594043,1.193
767,Ptpn1,0.324234562,1.252
768,Edn3,0.172487516,1.127
769,Bcap37,0.230203013,1.173
770,Ppifs,0.301002256,1.232
771,Sprr2a,0.20288783300000002,1.151
772,Lin7b,0.35162832899999996,1.276
773,Arf4,0.242450074,1.183
774,Slc9a3r2,0.20288783300000002,1.151
775,Rpl37a,0.38956681200000004,1.31
776,LOC434427,0.22650853,1.17
777,Gpatc2,0.326537348,1.254
778,Evi2a,0.177598929,1.131
779,Tff1,0.230203013,1.173
780,Tfam,0.16735792800000002,1.123
781,Asl,0.503857533,1.4180000000000001
782,Rassf3,0.407080775,1.3259999999999998
783,Rras2,0.48954293600000004,1.4040000000000001
784,Bmi1,0.25338423600000004,1.192
785,Cxcl13,0.197865391,1.147
786,Tnfrsf11b,0.421155961,1.339
787,Hsd11b1,0.267835392,1.204
788,3110049J23Rik,0.289244285,1.222
789,Qpctl,0.308011315,1.238
790,Tigd5,0.521050737,1.435
791,Tm7sf1,0.454175893,1.37
792,Hat1,0.183962835,1.136
793,Capn12,0.15574923300000001,1.114
794,Rshl1,0.240008965,1.181
795,Atp6v1e2,0.195347598,1.145
796,Thbs2,0.259423152,1.197
797,Adam21,0.200378798,1.149
798,Saa3,0.215367972,1.161
799,Eif4a2,0.150559677,1.11
800,Lin7c,0.22650853,1.17
801,Ccdc16,0.320773477,1.249
802,Wdr39,0.22650853,1.17
803,Mapkbp1,0.195347598,1.145
804,2900024C23Rik,0.19156265100000003,1.1420000000000001
805,D14Ertd500e,0.38846509700000004,1.3090000000000002
806,Aacs,0.172487516,1.127
807,Calb2,0.324234562,1.252
808,Txndc1,0.260627908,1.198
809,Edem1,0.21038886399999998,1.157
810,Dusp18,0.231432408,1.1740000000000002
811,BC025546,0.312665174,1.242
812,Chodl,0.3068455,1.237
813,Mef2c,0.247319935,1.187
814,Scgn,0.126972856,1.092
815,Aph1a,0.33113192199999997,1.258
816,Arhgap6,0.487486349,1.402
817,LOC545847,0.204140717,1.1520000000000001
818,Cul4a,0.21038886399999998,1.157
819,A330103N21Rik,0.5518851029999999,1.466
820,Mtrr,0.82130204,1.767
821,2600005C20Rik,0.14795788099999999,1.1079999999999999
822,Gt(ROSA)26Sor,0.40053793,1.32
823,2810485I05Rik,0.341416524,1.2670000000000001
824,Tmepai,0.200378798,1.149
825,Arhgef5,0.45628048200000004,1.3719999999999999
826,Stk32b,0.319617934,1.248
827,Nrip2,0.353887836,1.278
828,Fbxo21,0.221567789,1.166
829,6330408A02Rik,0.370722275,1.2930000000000001
830,C230052I12Rik,0.523060062,1.4369999999999998
831,Ngfr,0.24610401,1.186
832,Lrrtm1,0.25338423600000004,1.192
833,Scpep1,0.432959407,1.35
834,Snx17,0.214124805,1.16
835,Fkbp1a,0.145351386,1.1059999999999999
836,Mrpl28,0.40599236,1.325
837,Sca10,0.32308179,1.251
838,Nnt,0.429749851,1.347
839,Aco1,0.339137385,1.265
840,Actl6a,0.219091058,1.1640000000000001
841,5230400G24Rik,0.18523225399999999,1.137
842,Grhl2,0.16349873199999998,1.12
843,2510002D24Rik,0.328836464,1.256
844,2810021G02Rik,0.280956314,1.215
845,E2f5,0.340277405,1.266
846,1810049H13Rik,0.145351386,1.1059999999999999
847,Smarca1,0.29042440399999997,1.2229999999999999
848,Plekhb2,0.154453593,1.113
849,Mrpl13,0.397255346,1.317
850,Egfr,0.37851162299999996,1.3
851,Hnrpk,0.247319935,1.187
852,2810013E07Rik,0.521050737,1.435
853,0610011L14Rik,-0.329,0.797
854,1810060J02Rik,-0.31,0.808
855,1810073N04Rik,-0.026,0.997
856,2010111I01Rik,-0.05,0.993
857,2610200G18Rik,-0.298,0.814
858,2810003C17Rik,0.467,1.406
859,3110001A13Rik,-0.498,0.709
860,4933439C20Rik,0.379,1.302
861,4933439F18Rik,-0.246,0.882
862,6430548M08Rik,-0.347,0.786
863,AW049765,-0.7,0.618
864,Acsl1,-0.014,1.024
865,Ap3m1,-0.415,0.753
866,Arhgap5,-0.366,0.779
867,Arl2bp,0.164,1.121
868,Arl6ip2,-0.417,0.754
869,Atp6v0b,0.18,1.133
870,Atp6v0c,0.201,1.15
871,B230208H17Rik,-0.245,0.844
872,Baiap2,-0.429,0.746
873,Bcar1,-0.465,0.725
874,C78339,0.194,1.144
875,Camk1d,-0.734,0.614
876,Col18a1,-0.559,0.679
877,Creg1,-0.344,0.788
878,D6Wsu116e,-0.34,0.79
879,Dap,-0.445,0.734
880,Dnpep,0.394,1.316
881,Dock9,-0.266,0.832
882,Eftud2,-0.215,0.862
883,Eif3s8,-0.196,0.874
884,F2r,0.88,1.858
885,Ggps1,-0.308,0.808
886,Hspb8,-0.503,0.71
887,Ibrdc3,-0.397,0.76
888,Id4,-0.407,0.754
889,Itgb5,-0.427,0.745
890,Kalrn,-0.037,1.049
891,Kcnd2,-0.459,0.728
892,Lasp1,0.285,1.219
893,Lman1,-0.408,0.755
894,Map3k7ip2,-0.299,0.813
895,Marcks,0.445,1.365
896,Mbd2,-0.443,0.738
897,Mus81,-0.399,0.759
898,Myh9,-0.285,0.821
899,Ndn,0.26,1.199
900,Nomo1,-0.252,0.841
901,Ppargc1a,-0.467,0.808
902,Qars,0.065,1.078
903,Ranbp5,-0.353,0.784
904,Sec61a1,-0.324,0.8
905,Sec63,0.002,1.018
906,Sfrs2,-0.028,0.999
907,Slc25a29,-0.751,0.599
908,Slc25a5,0.266,1.205
909,Spag5,-0.71,0.613
910,Stat2,-0.282,0.823
911,Stk17b,-0.432,0.742
912,Tmem19,-0.248,0.842
913,Tmsb10,0.353,1.28
914,Tpbg,0.455,1.374
915,Trim27,0.294,1.227
916,Trim62,-0.033,0.994
917,Twsg1,-0.713,0.614
918,Zdhhc14,-0.342,0.79
919,Zdhhc2,0.183,1.136
920,Zfp410,-0.097,0.962
921,Znrf1,-0.41,0.753
