Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
Eps15l1,0.46048047,1.376
Cald1,0.162210036,1.119
Ndfip1,0.176322773,1.13
Sec63,0.261831659,1.199
Tpm2,0.355016264,1.279
Oact2,0.32998465,1.257
Kcnj6,0.304511042,1.235
Wrn,0.199122642,1.148
Shmt1,0.264236151,1.201
Wsb1,0.342554745,1.268
Rgs11,0.35952117,1.283
Cd8a,0.191562651,1.142
BC018371,0.250961574,1.19
Atp6v0b,0.200378798,1.149
Mark1,0.205392513,1.153
D19Wsu162e,0.261831659,1.199
Rest,0.167357928,1.123
Nol6,0.201633861,1.15
Ivns1abp,0.285698126,1.219
BC014805,0.129612738,1.094
Cacnb1,0.423309237,1.341
Nek6,0.560714954,1.475
Egln3,0.324234562,1.252
Loh11cr2a,0.423309237,1.341
B4galt7,0.236339539,1.178
Kcnmb2,0.222804561,1.167
4933439C20Rik,0.33571191,1.262
Rasa1,0.133563526,1.097
Kifc2,0.266636643,1.203
Atf2,0.32998465,1.257
Tomm70a,0.166072676,1.122
AI316828,0.214124805,1.16
Parp12,0.313826296,1.243
Nova1,0.171206827,1.126
4933439F18Rik,0.186500558,1.138
Mapre3,0.327687364,1.255
AI790298,0.304511042,1.235
E030025D05Rik,0.422233001,1.34
Recql5,0.175045486,1.129
Robo1,0.551885103,1.466
Vangl1,0.290424404,1.223
Col12a1,0.318461465,1.247
Napb,0.189033824,1.14
BC007180,0.297484916,1.229
Hmmr,0.243669081,1.184
Sema3e,0.206643224,1.154
Sox6,0.196607044,1.146
Sfrs2,0.248534836,1.188
Pom121,0.186500558,1.138
Tm7sf3,0.22650853,1.17
Sfrs1,0.173767068,1.128
Ebf3,0.386259141,1.307
Atg7l,0.27857955,1.213
Sms,0.342554745,1.268
Rpl21,0.250961574,1.19
1110019C08Rik,0.32308179,1.251
Arl2bp,0.200378798,1.149
Cebpz,0.18142064,1.134
1810073N04Rik,0.222804561,1.167
4933426K21Rik,0.35614381,1.28
Cyp4f16,0.404903122,1.324
Gusb,0.362890643,1.286
Pitpnc1,0.177598929,1.131
Fbxo3,0.194087052,1.144
Tom1,0.227741076,1.171
Gtf2i,0.291603558,1.224
C78339,0.210388864,1.157
C78339,0.177598929,1.131
Gns,0.25821739,1.196
Etnk1,0.297484916,1.229
Sox4,0.466757616,1.382
Peg3,0.175045486,1.129
Fbxo11,0.265436896,1.202
Atpif1,0.318461465,1.247
Arf3,0.214124805,1.16
Slc25a5,0.187767747,1.139
Mkrn1,0.22650853,1.17
Hmgn3,0.350497247,1.275
4933439C20Rik,0.334568276,1.261
Ube1c,0.444667067,1.361
Pa2g4,0.232660757,1.175
Bcl2l11,0.282143229,1.216
Fcgr2b,0.562669826,1.477
Atp6v0c,0.22897257,1.172
B230112C05Rik,0.469885976,1.385
Ppp1r8,0.27857955,1.213
Egfl7,0.232660757,1.175
Mark2,0.47612242,1.391
Fen1,0.366252264,1.289
Sdc3,0.417920008,1.336
Scyl1,0.220329955,1.165
Trim62,0.22650853,1.17
Laptm4b,0.24610401,1.186
4933439C20Rik,0.33571191,1.262
Atp6v0b,0.159629186,1.117
LOC545161,0.204140717,1.152
Rnps1,0.227741076,1.171
Zbed3,0.237563718,1.179
Tmsb10,0.227741076,1.171
F2r,1.077926579,2.111
Aldh18a1,0.237563718,1.179
Trpm1,0.24610401,1.186
Bicd1,0.230203013,1.173
Armcx2,0.192825404,1.143
Mtap4,0.222804561,1.167
6-Sep,0.201633861,1.15
Slc25a5,0.355016264,1.279
Trim27,0.361768359,1.285
Psme3,0.216610069,1.162
Slc25a5,0.370722275,1.293
Slc25a5,0.150559677,1.11
Dnpep,0.309176187,1.239
Cryz,0.350497247,1.275
Sfrp1,0.254594043,1.193
Lasp1,0.317304068,1.246
Ptpn1,0.324234562,1.252
Edn3,0.172487516,1.127
Atp6v0c,0.172487516,1.127
Bcap37,0.230203013,1.173
Ppifs,0.301002256,1.232
Sprr2a,0.202887833,1.151
4933439C20Rik,0.508935662,1.423
Lin7b,0.351628329,1.276
Arf4,0.242450074,1.183
Slc9a3r2,0.202887833,1.151
Rpl37a,0.389566812,1.31
Dnpep,0.479230561,1.394
LOC434427,0.22650853,1.17
Kalrn,0.522055749,1.436
Gpatc2,0.326537348,1.254
Evi2a,0.177598929,1.131
Tff1,0.230203013,1.173
Tfam,0.167357928,1.123
Asl,0.503857533,1.418
Rassf3,0.407080775,1.326
Rras2,0.489542936,1.404
Bmi1,0.253384236,1.192
Cxcl13,0.197865391,1.147
Tnfrsf11b,0.421155961,1.339
Hsd11b1,0.267835392,1.204
3110049J23Rik,0.289244285,1.222
Qpctl,0.308011315,1.238
Tigd5,0.521050737,1.435
Tm7sf1,0.454175893,1.37
Hat1,0.183962835,1.136
Capn12,0.155749233,1.114
Rshl1,0.240008965,1.181
Atp6v1e2,0.195347598,1.145
Thbs2,0.259423152,1.197
Adam21,0.200378798,1.149
Saa3,0.215367972,1.161
F2r,0.681674142,1.604
Eif4a2,0.150559677,1.11
Lin7c,0.22650853,1.17
Ccdc16,0.320773477,1.249
Wdr39,0.22650853,1.17
Mapkbp1,0.195347598,1.145
2900024C23Rik,0.191562651,1.142
D14Ertd500e,0.388465097,1.309
Aacs,0.172487516,1.127
Calb2,0.324234562,1.252
Zfp410,0.252173413,1.191
Txndc1,0.260627908,1.198
Edem1,0.210388864,1.157
Dusp18,0.231432408,1.174
BC025546,0.312665174,1.242
2810003C17Rik,0.197865391,1.147
Chodl,0.3068455,1.237
Mef2c,0.247319935,1.187
Scgn,0.126972856,1.092
Aph1a,0.331131922,1.258
Arhgap6,0.487486349,1.402
LOC545847,0.204140717,1.152
Cul4a,0.210388864,1.157
A330103N21Rik,0.551885103,1.466
Mtrr,0.82130204,1.767
2600005C20Rik,0.147957881,1.108
Gt(ROSA)26Sor,0.40053793,1.32
2810485I05Rik,0.341416524,1.267
Tmepai,0.200378798,1.149
Arhgef5,0.456280482,1.372
Stk32b,0.319617934,1.248
Nrip2,0.353887836,1.278
Zdhhc2,0.211635253,1.158
Zdhhc2,0.154453593,1.113
Fbxo21,0.221567789,1.166
6330408A02Rik,0.370722275,1.293
C230052I12Rik,0.523060062,1.437
Ngfr,0.24610401,1.186
Lasp1,0.253384236,1.192
Ndn,0.191562651,1.142
Lrrtm1,0.253384236,1.192
Scpep1,0.432959407,1.35
Tmsb10,0.387362541,1.308
Snx17,0.214124805,1.16
Marcks,0.318461465,1.247
Fkbp1a,0.145351386,1.106
Qars,0.416839742,1.335
Mrpl28,0.40599236,1.325
Trim27,0.22527493,1.169
Ppargc1a,0.221567789,1.166
Sca10,0.32308179,1.251
Nnt,0.429749851,1.347
NA,0.443606651,1.36
Aco1,0.339137385,1.265
Actl6a,0.219091058,1.164
5230400G24Rik,0.185232254,1.137
Grhl2,0.163498732,1.12
2510002D24Rik,0.328836464,1.256
2810021G02Rik,0.280956314,1.215
E2f5,0.340277405,1.266
1810049H13Rik,0.145351386,1.106
Smarca1,0.290424404,1.223
Acsl1,0.360645202,1.284
Plekhb2,0.154453593,1.113
Mrpl13,0.397255346,1.317
Egfr,0.378511623,1.3
Hnrpk,0.247319935,1.187
2810013E07Rik,0.521050737,1.435
2010111I01Rik,0.289244285,1.222
